raw,name,url,type,latitude,longitude,rating,description
"Traunsee  
FeatureType : waterbody
Elevation : 420
Lat/Lng : 47.8667 / 13.8",Traunsee,https://en.wikipedia.org/wiki/Traunsee,waterbody,47.8667,13.8,,"Traunsee is a lake in the Salzkammergut, Austria, located at . Its surface is approximately 24.5 km² and its maximum depth is 191 metres. It is a popular tourist destination, and its attractions include Schloss Ort, a medieval castle (...)"
"Ajman  
FeatureType : city
Elevation : -2
Lat/Lng : 25.394 / 55.4422",Ajman,https://en.wikipedia.org/wiki/Ajman,city,25.394,55.4422,,"Ajman is the capital of the emirate of Ajman in the United Arab Emirates, located along the Persian Gulf. (...)"
"Niagara Falls, Ontario  
FeatureType : city
Elevation : 178
Lat/Lng : 43.1053 / -79.0732","Niagara Falls, Ontario",https://en.wikipedia.org/wiki/Niagara_Falls%2C_Ontario,city,43.1053,-79.0732,,"Niagara Falls is a Canadian city on the western bank of the Niagara River in the Golden Horseshoe region of Southern Ontario, with a population of 82,997 at the 2011 census. The municipality was incorporated on 12 June 1903. Across the Niagara River is Niagara Falls, New York (...)"
"Paimpol  
FeatureType : city
Elevation : 6
Lat/Lng : 48.7786 / -3.0453",Paimpol,https://en.wikipedia.org/wiki/Paimpol,city,48.7786,-3.0453,,"Paimpol is a commune in the Côtes-d'Armor department in Brittany in northwestern France. It is a tourist destination, especially during the summer months when people are attracted by its port and beaches. (...)"
"Deutschlandsberg  
FeatureType : landmark
Elevation : 370
Lat/Lng : 46.8161 / 15.215",Deutschlandsberg,https://en.wikipedia.org/wiki/Deutschlandsberg,landmark,46.8161,15.215,,"Deutschlandsberg is a town in Deutschlandsberg district of Styria, Austria. It is located in southern Austria, near the border with Slovenia. It is approximately 35 km from Graz. Popular tourist attractions include the Deutschlandsberg Castle. (...)"
"Bakhchysarai  
FeatureType : city
Elevation : 178
Lat/Lng : 44.7528 / 33.8608",Bakhchysarai,https://en.wikipedia.org/wiki/Bakhchysarai,city,44.7528,33.8608,,"Bakhchysarai is a city in central Crimea, a territory recognized by a majority of countries as part of Ukraine and incorporated by Russia as the Republic of Crimea. It is the administrative center of the Bakhchysarai Raion (district), as well as the former capital of the Crimean Khanate (...)"
"Colonia del Sacramento  
FeatureType : city
Elevation : 22
Lat/Lng : -34.4697 / -57.8467",Colonia del Sacramento,https://en.wikipedia.org/wiki/Bakhchysarai,city,-34.4697,-57.8467,,"Colonia del Sacramento (; formerly the Portuguese Colónia do Sacramento) is a city in southwestern Uruguay, by the Río de la Plata, facing Buenos Aires, Argentina. It is one of the oldest towns in Uruguay and capital of the Colonia Department. It has a population of around 27,000 (...)"
"Rimouski  
FeatureType : city
Elevation : 25
Lat/Lng : 48.4494 / -68.525",Rimouski,https://en.wikipedia.org/wiki/Rimouski,city,48.4494,-68.525,,"Rimouski is a Canadian city located in the Bas-Saint-Laurent (Quebec) region at the mouth of the Rimouski River. It has a population of 46,860 (as of 2011) and many tourist, cultural and industrial attractions. Rimouski is the site of Université du Québec à Rimouski (UQAR), the Cégep de Rimouski (...)"
"Vico Equense  
FeatureType : adm3rd
Elevation : 144
Lat/Lng : 40.6667 / 14.4333",Vico Equense,https://en.wikipedia.org/wiki/Vico_Equense,adm3rd,40.6667,14.4333,,"Vico Equense is a coastal town and comune in the Metropolitan City of Naples, in Italy. (...)"
"Olinda  
FeatureType : city
Elevation : 37
Lat/Lng : -8.0089 / -34.855",Olinda,https://en.wikipedia.org/wiki/Olinda,city,-8.0089,-34.855,,"Olinda is a historic city in the Brazilian state of Pernambuco, located on the country's northeastern Atlantic Ocean coast, just north of Recife and south of Paulista. It has a population of 397,268 people http://www.ibge.gov.br/home/estatistica/populacao/estimativa2009/POP2009_DOU (...)"
"Lake Tahoe  
FeatureType : waterbody
Elevation : 1898
Lat/Lng : 39.0917 / -120.0417",Lake Tahoe,https://en.wikipedia.org/wiki/Lake_Tahoe,waterbody,39.0917,-120.0417,,"Lake Tahoe (; Washo: dáʔaw) is a large freshwater lake in the Sierra Nevada of the United States. At a surface elevation of , it is located along the border between California and Nevada, west of Carson City. Lake Tahoe is the largest alpine lake in North America (...)"
"Gostivar  
FeatureType : city
Elevation : 535
Lat/Lng : 41.7959 / 20.9083",Gostivar,https://en.wikipedia.org/wiki/Gostivar,city,41.7959,20.9083,,"Gostivar , is a city in the Republic of Macedonia, located in the upper Polog valley region. It is one of the largest municipalities in the country with a population of 81,042, and the town also covers . Gostivar has good road and railway connections with the other cities in the region, such as (...)"
"Lake Balaton  
FeatureType : waterbody
Elevation : 100
Lat/Lng : 46.7823 / 17.5628",Lake Balaton,https://en.wikipedia.org/wiki/Lake_Balaton,waterbody,46.7823,17.5628,,"Lake Balaton (German: Plattensee) is a freshwater lake in the Transdanubian region of Hungary. It is the largest lake in Central Europe, and one of the region's foremost tourist destinations. The Zala River provides the largest inflow of water to the lake, and the canalised Sió is the only outflow (...)"
"Oberá  
FeatureType : city
Elevation : 342
Lat/Lng : -27.4826 / -55.1195",Oberá,https://en.wikipedia.org/wiki/Ober%C3%A1,city,-27.4826,-55.1195,,"Oberá is a city in the interfluvial province of Misiones, Argentina, and the head town of the Oberá Department. It is located 96 km east of the provincial capital Posadas, on National Route 14, and about 1,150 km north of Buenos Aires. It has about 66,000 inhabitants according to the . (...)"
"Kórnik  
FeatureType : city
Elevation : 66
Lat/Lng : 52.2367 / 17.0986",Kórnik,https://en.wikipedia.org/wiki/K%C3%B3rnik,city,52.2367,17.0986,,"Kórnik is a town with about 6,800 inhabitants (2006), located in western Poland, approximately south-east of the city of Poznań. It is one of the major tourist attractions of the Wielkopolska (Greater Poland) region (...)"
"Burgundy  
FeatureType : adm1st
Elevation : 595
Lat/Lng : 47.2475 / 4.1514",Burgundy,https://en.wikipedia.org/wiki/Burgundy,adm1st,47.2475,4.1514,,"Burgundy is a historical territory and a former administrative region of east-central France. Since 1 January 2016, it is part of the new region Bourgogne-Franche-Comté. Burgundy comprises the following four departments: Côte-d'Or, Saône-et-Loire, Yonne and Nièvre (...)"
"Myrtle Beach, South Carolina  
FeatureType : city
Elevation : 3
Lat/Lng : 33.71 / -78.8836","Myrtle Beach, South Carolina",https://en.wikipedia.org/wiki/Myrtle_Beach%2C_South_Carolina,city,33.71,-78.8836,,"Myrtle Beach is a coastal city on the east coast of the United States in Horry County, South Carolina. It is situated on the center of a large and continuous stretch of beach known as the Grand Strand in northeastern South Carolina (...)"
"Tlaxcala  
FeatureType : adm1st
Elevation : 2481
Lat/Lng : 19.4289 / -98.1608",Tlaxcala,https://en.wikipedia.org/wiki/Tlaxcala,adm1st,19.4289,-98.1608,,"Tlaxcala (Spanish ; , officially Free and Sovereign State of Tlaxcala , is one of the 31 states which along with the Federal District make up the 32 federative entities of Mexico. It is divided into 60 municipalities and its capital city is Tlaxcala (...)"
"Sisteron  
FeatureType : city
Elevation : 484
Lat/Lng : 44.1911 / 5.9472",Sisteron,https://en.wikipedia.org/wiki/Sisteron,city,44.1911,5.9472,,Sisteron (in classical norm or Sisteroun in Mistralian norm) is a commune in the Alpes-de-Haute-Provence department in the Provence-Alpes-Côte d'Azur region in southeastern France. Sisteron is situated on the banks of the River Durance just after the confluence of the rivers Buëch and Sasse (...)
"Cumaná  
FeatureType : city
Elevation : 5
Lat/Lng : 10.45 / -64.18",Cumaná,https://en.wikipedia.org/wiki/Cuman%C3%A1,city,10.45,-64.18,,"Cumaná (824,764 inhabitants) is the capital of Venezuela's Sucre State. It is located 402 km east of Caracas. Cumaná was one of the first settlements founded by Europeans in mainland America; attacks by indigenous peoples meant it had to be refounded several times (...)"
"Kolding  
FeatureType : city
Elevation : 8
Lat/Lng : 55.49 / 9.47",Kolding,https://en.wikipedia.org/wiki/Kolding,city,55.49,9.47,,"Kolding is a Danish seaport located at the head of Kolding Fjord in the Region of Southern Denmark. It is the seat of Kolding Municipality. It is a transportation, commercial, and manufacturing centre, and has numerous industrial companies, principally geared towards shipbuilding (...)"
"Prešov  
FeatureType : null
Elevation : 258
Lat/Lng : 48.9986 / 21.24",Prešov,https://en.wikipedia.org/wiki/Prešov,null,48.9986,21.24,,"Prešov is a city in eastern Slovakia. It is the seat of the administrative Prešov Region . With a population of approximately 91,352, it is the third-largest city in the country. There are many tourist attractions in Presov such as castles, pools, churches, and the beautiful city (...)"
"Copenhagen  
FeatureType : null
Elevation : 9
Lat/Lng : 55.6757 / 12.5787",Copenhagen,https://en.wikipedia.org/wiki/Copenhagen,null,55.6757,12.5787,,"Copenhagen (; (help=no); also known by other alternative names) is the capital and most populated city of Denmark, with a population of 583,348 in the city proper, an urban population of 1,263,698 and a metropolitan population of 2,013,009 (...)"
